Репликација (индекс);Путник;Авионски лет;Полазиште;Одредиште;Локално време захтева (ISO 8601);Време захтева (s од поноћи);Сат од поноћи
0;SYN2-236-D:P0001;SYN2-236-D;BW;LYBE;2026-07-31T05:44:25.689134+02:00;20665,689133786494;5
0;SYN2-009-A:P0002;SYN2-009-A;LYBE;DOR;2026-07-31T05:44:26.095288+02:00;20666,09528792066;5
0;SYN2-014-A:P0001;SYN2-014-A;LYBE;LYBV;2026-07-31T05:52:55.664614+02:00;21175,664614224595;5
0;SYN2-017-A:P0001;SYN2-017-A;LYBE;DOR;2026-07-31T05:55:35.821643+02:00;21335,821643243427;5
0;SYN2-019-A:P0001;SYN2-019-A;LYBE;LYBV;2026-07-31T06:02:13.705322+02:00;21733,705321996273;6
0;SYN2-019-A:P0002;SYN2-019-A;LYBE;JUG;2026-07-31T06:04:33.830923+02:00;21873,83092331889;6
0;SYN2-241-D:P0001;SYN2-241-D;BW;LYBE;2026-07-31T06:08:10.026465+02:00;22090,02646457314;6
0;SYN2-353-D:P0001;SYN2-353-D;JUG;LYBE;2026-07-31T06:08:56.319521+02:00;22136,319521225003;6
0;SYN2-242-D:P0001;SYN2-242-D;JUG;LYBE;2026-07-31T06:52:55.239551+02:00;24775,239550854796;6
0;SYN2-237-D:P0001;SYN2-237-D;BW;LYBE;2026-07-31T06:56:33.442179+02:00;24993,442179245856;6
0;SYN2-246-D:P0001;SYN2-246-D;LYBV;LYBE;2026-07-31T07:19:34.713834+02:00;26374,713834224855;7
0;SYN2-245-D:P0001;SYN2-245-D;LYBV;LYBE;2026-07-31T07:24:26.849173+02:00;26666,84917321565;7
0;SYN2-243-D:P0001;SYN2-243-D;BW;LYBE;2026-07-31T07:26:59.626135+02:00;26819,626134787482;7
0;SYN2-249-D:P0002;SYN2-249-D;BW;LYBE;2026-07-31T07:58:54.321276+02:00;28734,3212764861;7
0;SYN2-356-D:P0001;SYN2-356-D;LYBV;LYBE;2026-07-31T08:06:09.185868+02:00;29169,18586788682;8
0;SYN2-356-D:P0003;SYN2-356-D;LYBV;LYBE;2026-07-31T08:27:09.657255+02:00;30429,657255408452;8
0;SYN2-249-D:P0001;SYN2-249-D;LYBV;LYBE;2026-07-31T08:34:21.179855+02:00;30861,179854833932;8
0;SYN2-356-D:P0002;SYN2-356-D;DOR;LYBE;2026-07-31T08:37:43.125346+02:00;31063,12534593749;8
0;SYN2-253-D:P0002;SYN2-253-D;BW;LYBE;2026-07-31T08:50:22.944333+02:00;31822,94433290555;8
0;SYN2-023-A:P0003;SYN2-023-A;LYBE;BW;2026-07-31T08:52:06.819013+02:00;31926,81901284181;8
0;SYN2-023-A:P0002;SYN2-023-A;LYBE;DOR;2026-07-31T08:52:33.822348+02:00;31953,8223478915;8
0;SYN2-254-D:P0001;SYN2-254-D;LYBV;LYBE;2026-07-31T08:53:22.330683+02:00;32002,33068287823;8
0;SYN2-157-A:P0001;SYN2-157-A;LYBE;LYBV;2026-07-31T08:53:53.001844+02:00;32033,0018437256;8
0;SYN2-022-A:P0001;SYN2-022-A;LYBE;DOR;2026-07-31T08:53:57.121583+02:00;32037,121583473265;8
0;SYN2-021-A:P0001;SYN2-021-A;LYBE;BW;2026-07-31T08:56:40.559320+02:00;32200,559320340875;8
0;SYN2-250-D:P0001;SYN2-250-D;DOR;LYBE;2026-07-31T08:58:21.478883+02:00;32301,47888255032;8
0;SYN2-259-D:P0001;SYN2-259-D;BW;LYBE;2026-07-31T09:06:14.277424+02:00;32774,27742442932;9
0;SYN2-253-D:P0001;SYN2-253-D;BW;LYBE;2026-07-31T09:06:32.178675+02:00;32792,1786749687;9
0;SYN2-157-A:P0002;SYN2-157-A;LYBE;BW;2026-07-31T09:09:34.420844+02:00;32974,42084425072;9
0;SYN2-023-A:P0001;SYN2-023-A;LYBE;BW;2026-07-31T09:11:38.756600+02:00;33098,756599839915;9
0;SYN2-260-D:P0001;SYN2-260-D;BW;LYBE;2026-07-31T09:24:33.243799+02:00;33873,24379896115;9
0;SYN2-026-A:P0001;SYN2-026-A;LYBE;BW;2026-07-31T09:26:15.388152+02:00;33975,38815157781;9
0;SYN2-358-D:P0001;SYN2-358-D;BW;LYBE;2026-07-31T09:30:27.831612+02:00;34227,8316121829;9
0;SYN2-360-D:P0001;SYN2-360-D;BW;LYBE;2026-07-31T09:39:00.066367+02:00;34740,06636657142;9
0;SYN2-254-D:P0002;SYN2-254-D;LYBV;LYBE;2026-07-31T09:40:35.488714+02:00;34835,488713797036;9
0;SYN2-255-D:P0001;SYN2-255-D;EXPO;LYBE;2026-07-31T09:49:00.640000+02:00;35340,64000022498;9
0;SYN2-263-D:P0001;SYN2-263-D;DOR;LYBE;2026-07-31T09:59:29.560847+02:00;35969,56084663348;9
0;SYN2-030-A:P0001;SYN2-030-A;LYBE;JUG;2026-07-31T10:05:21.319072+02:00;36321,31907235825;10
0;SYN2-288-D:P0001;SYN2-288-D;DOR;LYBE;2026-07-31T10:10:21.711321+02:00;36621,71132088437;10
0;SYN2-361-D:P0001;SYN2-361-D;JUG;LYBE;2026-07-31T10:26:43.275574+02:00;37603,2755741492;10
0;SYN2-159-A:P0002;SYN2-159-A;LYBE;DOR;2026-07-31T10:34:36.484858+02:00;38076,48485751364;10
0;SYN2-271-D:P0002;SYN2-271-D;JUG;LYBE;2026-07-31T10:36:03.740106+02:00;38163,74010635352;10
0;SYN2-271-D:P0001;SYN2-271-D;JUG;LYBE;2026-07-31T10:37:04.796414+02:00;38224,79641444117;10
0;SYN2-159-A:P0003;SYN2-159-A;LYBE;EXPO;2026-07-31T10:37:38.019052+02:00;38258,0190516311;10
0;SYN2-265-D:P0001;SYN2-265-D;BW;LYBE;2026-07-31T10:38:56.920032+02:00;38336,92003205215;10
0;SYN2-284-D:P0001;SYN2-284-D;BW;LYBE;2026-07-31T10:40:22.365484+02:00;38422,36548397377;10
0;SYN2-286-D:P0001;SYN2-286-D;DOR;LYBE;2026-07-31T10:40:45.061098+02:00;38445,06109839003;10
0;SYN2-159-A:P0001;SYN2-159-A;LYBE;LYBV;2026-07-31T10:45:17.051303+02:00;38717,0513026789;10
0;SYN2-032-A:P0001;SYN2-032-A;LYBE;BW;2026-07-31T10:46:50.221548+02:00;38810,22154757295;10
0;SYN2-032-A:P0002;SYN2-032-A;LYBE;BW;2026-07-31T10:49:37.038977+02:00;38977,03897660966;10
0;SYN2-283-D:P0002;SYN2-283-D;BW;LYBE;2026-07-31T10:51:51.303830+02:00;39111,30382970655;10
0;SYN2-033-A:P0001;SYN2-033-A;LYBE;LYBV;2026-07-31T10:52:04.391603+02:00;39124,39160290777;10
0;SYN2-032-A:P0003;SYN2-032-A;LYBE;JUG;2026-07-31T10:53:33.410021+02:00;39213,41002112537;10
0;SYN2-270-D:P0001;SYN2-270-D;BW;LYBE;2026-07-31T11:02:02.290228+02:00;39722,290228247635;11
0;SYN2-277-D:P0001;SYN2-277-D;BW;LYBE;2026-07-31T11:03:24.905746+02:00;39804,905746373704;11
0;SYN2-031-A:P0001;SYN2-031-A;LYBE;JUG;2026-07-31T11:03:54.761465+02:00;39834,76146489913;11
0;SYN2-160-A:P0001;SYN2-160-A;LYBE;DOR;2026-07-31T11:05:30.491873+02:00;39930,491873260056;11
0;SYN2-033-A:P0002;SYN2-033-A;LYBE;LYBV;2026-07-31T11:12:16.482845+02:00;40336,4828448576;11
0;SYN2-036-A:P0003;SYN2-036-A;LYBE;DOR;2026-07-31T11:15:22.688353+02:00;40522,68835263792;11
0;SYN2-161-A:P0001;SYN2-161-A;LYBE;LYBV;2026-07-31T11:16:41.392077+02:00;40601,39207670909;11
0;SYN2-283-D:P0001;SYN2-283-D;EXPO;LYBE;2026-07-31T11:18:19.292469+02:00;40699,29246873345;11
0;SYN2-036-A:P0001;SYN2-036-A;LYBE;BW;2026-07-31T11:19:02.240114+02:00;40742,240114319364;11
0;SYN2-036-A:P0002;SYN2-036-A;LYBE;EXPO;2026-07-31T11:25:41.852966+02:00;41141,85296639672;11
0;SYN2-034-A:P0001;SYN2-034-A;LYBE;BW;2026-07-31T11:25:44.073838+02:00;41144,07383813758;11
0;SYN2-037-A:P0001;SYN2-037-A;LYBE;BW;2026-07-31T11:29:56.083676+02:00;41396,08367609546;11
0;SYN2-036-A:P0004;SYN2-036-A;LYBE;LYBV;2026-07-31T11:33:36.062211+02:00;41616,06221116555;11
0;SYN2-164-A:P0001;SYN2-164-A;LYBE;BW;2026-07-31T11:33:58.526888+02:00;41638,526887961714;11
0;SYN2-046-A:P0001;SYN2-046-A;LYBE;DOR;2026-07-31T11:48:10.576161+02:00;42490,57616076573;11
0;SYN2-045-A:P0001;SYN2-045-A;LYBE;LYBV;2026-07-31T11:48:39.411987+02:00;42519,411987282845;11
0;SYN2-051-A:P0001;SYN2-051-A;LYBE;BW;2026-07-31T11:52:09.564915+02:00;42729,56491543879;11
0;SYN2-047-A:P0001;SYN2-047-A;LYBE;BW;2026-07-31T11:52:50.971384+02:00;42770,971383956465;11
0;SYN2-289-D:P0001;SYN2-289-D;BW;LYBE;2026-07-31T11:53:54.388271+02:00;42834,388271489464;11
0;SYN2-050-A:P0001;SYN2-050-A;LYBE;DOR;2026-07-31T11:59:27.145849+02:00;43167,145849395354;11
0;SYN2-054-A:P0001;SYN2-054-A;LYBE;BW;2026-07-31T12:00:57.510909+02:00;43257,51090854269;12
0;SYN2-053-A:P0002;SYN2-053-A;LYBE;JUG;2026-07-31T12:02:03.918043+02:00;43323,91804344414;12
0;SYN2-053-A:P0001;SYN2-053-A;LYBE;LYBV;2026-07-31T12:08:48.901530+02:00;43728,9015301286;12
0;SYN2-055-A:P0001;SYN2-055-A;LYBE;BW;2026-07-31T12:09:09.915787+02:00;43749,915786647754;12
0;SYN2-165-A:P0001;SYN2-165-A;LYBE;BW;2026-07-31T12:12:01.304529+02:00;43921,304529199406;12
0;SYN2-055-A:P0002;SYN2-055-A;LYBE;LYBV;2026-07-31T12:22:54.821317+02:00;44574,82131748607;12
0;SYN2-290-D:P0001;SYN2-290-D;DOR;LYBE;2026-07-31T12:28:00.681598+02:00;44880,681598155716;12
0;SYN2-057-A:P0001;SYN2-057-A;LYBE;LYBV;2026-07-31T12:33:10.066741+02:00;45190,06674125814;12
0;SYN2-059-A:P0001;SYN2-059-A;LYBE;BW;2026-07-31T12:37:26.695039+02:00;45446,69503909232;12
0;SYN2-292-D:P0002;SYN2-292-D;BW;LYBE;2026-07-31T12:39:23.914641+02:00;45563,91464111809;12
0;SYN2-293-D:P0001;SYN2-293-D;LYBV;LYBE;2026-07-31T12:42:11.088410+02:00;45731,088410455624;12
0;SYN2-367-D:P0001;SYN2-367-D;BW;LYBE;2026-07-31T12:45:26.871219+02:00;45926,87121875154;12
0;SYN2-064-A:P0001;SYN2-064-A;LYBE;JUG;2026-07-31T12:54:12.398941+02:00;46452,398941044055;12
0;SYN2-061-A:P0001;SYN2-061-A;LYBE;JUG;2026-07-31T13:02:38.136801+02:00;46958,13680064154;13
0;SYN2-064-A:P0002;SYN2-064-A;LYBE;JUG;2026-07-31T13:03:51.998474+02:00;47031,9984744818;13
0;SYN2-166-A:P0001;SYN2-166-A;LYBE;EXPO;2026-07-31T13:04:45.949400+02:00;47085,949399729936;13
0;SYN2-294-D:P0002;SYN2-294-D;LYBV;LYBE;2026-07-31T13:06:15.831289+02:00;47175,83128931378;13
0;SYN2-065-A:P0001;SYN2-065-A;LYBE;DOR;2026-07-31T13:06:20.638912+02:00;47180,63891158868;13
0;SYN2-292-D:P0003;SYN2-292-D;JUG;LYBE;2026-07-31T13:09:56.932151+02:00;47396,93215103284;13
0;SYN2-292-D:P0001;SYN2-292-D;LYBV;LYBE;2026-07-31T13:16:15.983660+02:00;47775,98366000167;13
0;SYN2-067-A:P0001;SYN2-067-A;LYBE;DOR;2026-07-31T13:21:20.082300+02:00;48080,08230043169;13
0;SYN2-070-A:P0001;SYN2-070-A;LYBE;JUG;2026-07-31T13:29:27.733785+02:00;48567,73378520848;13
0;SYN2-071-A:P0001;SYN2-071-A;LYBE;BW;2026-07-31T13:37:09.717631+02:00;49029,717631258754;13
0;SYN2-071-A:P0002;SYN2-071-A;LYBE;BW;2026-07-31T13:39:20.405174+02:00;49160,40517434872;13
0;SYN2-071-A:P0003;SYN2-071-A;LYBE;BW;2026-07-31T13:39:46.626759+02:00;49186,626758682505;13
0;SYN2-294-D:P0001;SYN2-294-D;JUG;LYBE;2026-07-31T13:43:33.103389+02:00;49413,103388764095;13
0;SYN2-169-A:P0001;SYN2-169-A;LYBE;EXPO;2026-07-31T13:47:36.829556+02:00;49656,829556245764;13
0;SYN2-298-D:P0001;SYN2-298-D;JUG;LYBE;2026-07-31T13:52:35.768660+02:00;49955,768660283284;13
0;SYN2-293-D:P0002;SYN2-293-D;EXPO;LYBE;2026-07-31T14:00:42.197590+02:00;50442,1975900576;14
0;SYN2-072-A:P0002;SYN2-072-A;LYBE;BW;2026-07-31T14:04:29.393227+02:00;50669,393226538516;14
0;SYN2-072-A:P0001;SYN2-072-A;LYBE;DOR;2026-07-31T14:08:59.198573+02:00;50939,19857277814;14
0;SYN2-294-D:P0003;SYN2-294-D;BW;LYBE;2026-07-31T14:22:48.310804+02:00;51768,31080431563;14
0;SYN2-296-D:P0001;SYN2-296-D;LYBV;LYBE;2026-07-31T14:32:12.950321+02:00;52332,95032084935;14
0;SYN2-295-D:P0001;SYN2-295-D;DOR;LYBE;2026-07-31T14:33:49.450670+02:00;52429,450670075785;14
0;SYN2-317-D:P0001;SYN2-317-D;LYBV;LYBE;2026-07-31T14:46:52.449820+02:00;53212,449819717316;14
0;SYN2-311-D:P0001;SYN2-311-D;BW;LYBE;2026-07-31T14:52:14.607672+02:00;53534,60767194917;14
0;SYN2-299-D:P0001;SYN2-299-D;BW;LYBE;2026-07-31T14:55:39.637821+02:00;53739,63782082979;14
0;SYN2-326-D:P0002;SYN2-326-D;DOR;LYBE;2026-07-31T15:09:30.545210+02:00;54570,54520991195;15
0;SYN2-307-D:P0001;SYN2-307-D;JUG;LYBE;2026-07-31T15:15:10.068652+02:00;54910,06865164083;15
0;SYN2-075-A:P0001;SYN2-075-A;LYBE;LYBV;2026-07-31T15:18:57.162778+02:00;55137,16277842079;15
0;SYN2-324-D:P0001;SYN2-324-D;BW;LYBE;2026-07-31T15:27:36.948864+02:00;55656,94886362265;15
0;SYN2-320-D:P0001;SYN2-320-D;JUG;LYBE;2026-07-31T15:34:09.626912+02:00;56049,626912125386;15
0;SYN2-372-D:P0001;SYN2-372-D;DOR;LYBE;2026-07-31T15:45:01.835660+02:00;56701,83566003866;15
0;SYN2-076-A:P0001;SYN2-076-A;LYBE;JUG;2026-07-31T15:53:05.535821+02:00;57185,535821232574;15
0;SYN2-079-A:P0001;SYN2-079-A;LYBE;EXPO;2026-07-31T15:56:19.685621+02:00;57379,685620665274;15
0;SYN2-077-A:P0001;SYN2-077-A;LYBE;DOR;2026-07-31T16:01:30.476824+02:00;57690,476823897545;16
0;SYN2-325-D:P0001;SYN2-325-D;JUG;LYBE;2026-07-31T16:05:55.250266+02:00;57955,25026565548;16
0;SYN2-326-D:P0001;SYN2-326-D;EXPO;LYBE;2026-07-31T16:18:15.205089+02:00;58695,20508892976;16
0;SYN2-082-A:P0001;SYN2-082-A;LYBE;BW;2026-07-31T16:34:33.212621+02:00;59673,2126213696;16
0;SYN2-171-A:P0001;SYN2-171-A;LYBE;JUG;2026-07-31T16:35:00.128498+02:00;59700,128498326376;16
0;SYN2-322-D:P0001;SYN2-322-D;BW;LYBE;2026-07-31T16:35:04.841530+02:00;59704,84153021605;16
0;SYN2-082-A:P0002;SYN2-082-A;LYBE;BW;2026-07-31T16:37:17.661443+02:00;59837,66144251678;16
0;SYN2-328-D:P0001;SYN2-328-D;BW;LYBE;2026-07-31T16:37:48.107924+02:00;59868,107923682015;16
0;SYN2-084-A:P0001;SYN2-084-A;LYBE;BW;2026-07-31T16:38:18.793765+02:00;59898,79376526002;16
0;SYN2-326-D:P0003;SYN2-326-D;JUG;LYBE;2026-07-31T16:42:54.169535+02:00;60174,16953541504;16
0;SYN2-174-A:P0001;SYN2-174-A;LYBE;EXPO;2026-07-31T16:43:19.902119+02:00;60199,90211917658;16
0;SYN2-089-A:P0001;SYN2-089-A;LYBE;BW;2026-07-31T16:53:38.926035+02:00;60818,92603506104;16
0;SYN2-086-A:P0001;SYN2-086-A;LYBE;BW;2026-07-31T16:54:05.269389+02:00;60845,269389208275;16
0;SYN2-096-A:P0001;SYN2-096-A;LYBE;EXPO;2026-07-31T16:54:25.324589+02:00;60865,324589163996;16
0;SYN2-102-A:P0001;SYN2-102-A;LYBE;JUG;2026-07-31T16:56:37.984420+02:00;60997,984419678316;16
0;SYN2-100-A:P0002;SYN2-100-A;LYBE;DOR;2026-07-31T16:57:11.119176+02:00;61031,119175512205;16
0;SYN2-087-A:P0001;SYN2-087-A;LYBE;JUG;2026-07-31T16:59:24.792381+02:00;61164,79238147301;16
0;SYN2-100-A:P0001;SYN2-100-A;LYBE;BW;2026-07-31T17:00:16.091075+02:00;61216,09107511105;17
0;SYN2-086-A:P0002;SYN2-086-A;LYBE;JUG;2026-07-31T17:00:50.752720+02:00;61250,75271969478;17
0;SYN2-105-A:P0001;SYN2-105-A;LYBE;DOR;2026-07-31T17:02:12.341663+02:00;61332,34166319689;17
0;SYN2-086-A:P0003;SYN2-086-A;LYBE;JUG;2026-07-31T17:05:01.228719+02:00;61501,22871876582;17
0;SYN2-176-A:P0002;SYN2-176-A;LYBE;JUG;2026-07-31T17:13:29.420432+02:00;62009,42043246459;17
0;SYN2-176-A:P0001;SYN2-176-A;LYBE;EXPO;2026-07-31T17:15:06.531431+02:00;62106,5314314047;17
0;SYN2-104-A:P0001;SYN2-104-A;LYBE;LYBV;2026-07-31T17:15:49.962905+02:00;62149,96290471815;17
0;SYN2-108-A:P0001;SYN2-108-A;LYBE;JUG;2026-07-31T17:36:36.829396+02:00;63396,82939581135;17
0;SYN2-376-D:P0001;SYN2-376-D;BW;LYBE;2026-07-31T17:44:00.597773+02:00;63840,597772732996;17
0;SYN2-109-A:P0001;SYN2-109-A;LYBE;DOR;2026-07-31T17:45:00.429076+02:00;63900,42907591023;17
0;SYN2-334-D:P0001;SYN2-334-D;BW;LYBE;2026-07-31T17:51:19.749494+02:00;64279,749494154996;17
0;SYN2-376-D:P0002;SYN2-376-D;BW;LYBE;2026-07-31T17:56:55.774780+02:00;64615,77477995957;17
0;SYN2-334-D:P0002;SYN2-334-D;BW;LYBE;2026-07-31T18:03:06.253333+02:00;64986,253332830034;18
0;SYN2-333-D:P0001;SYN2-333-D;JUG;LYBE;2026-07-31T18:04:37.440555+02:00;65077,44055487143;18
0;SYN2-330-D:P0001;SYN2-330-D;BW;LYBE;2026-07-31T18:05:40.220379+02:00;65140,220378612576;18
0;SYN2-112-A:P0001;SYN2-112-A;LYBE;LYBV;2026-07-31T18:16:11.889149+02:00;65771,8891485285;18
0;SYN2-377-D:P0003;SYN2-377-D;EXPO;LYBE;2026-07-31T18:19:10.637508+02:00;65950,63750773614;18
0;SYN2-377-D:P0002;SYN2-377-D;JUG;LYBE;2026-07-31T18:22:02.469138+02:00;66122,46913780404;18
0;SYN2-377-D:P0001;SYN2-377-D;JUG;LYBE;2026-07-31T18:25:50.943060+02:00;66350,94305979683;18
0;SYN2-113-A:P0002;SYN2-113-A;LYBE;JUG;2026-07-31T18:38:24.555460+02:00;67104,55546005254;18
0;SYN2-178-A:P0001;SYN2-178-A;LYBE;BW;2026-07-31T18:42:59.631696+02:00;67379,63169645432;18
0;SYN2-113-A:P0001;SYN2-113-A;LYBE;EXPO;2026-07-31T18:47:50.042039+02:00;67670,04203947812;18
0;SYN2-337-D:P0001;SYN2-337-D;JUG;LYBE;2026-07-31T19:14:20.677283+02:00;69260,67728270302;19
0;SYN2-116-A:P0001;SYN2-116-A;LYBE;BW;2026-07-31T19:48:24.639481+02:00;71304,6394808475;19
0;SYN2-118-A:P0001;SYN2-118-A;LYBE;LYBV;2026-07-31T20:21:14.436030+02:00;73274,43603007599;20
0;SYN2-340-D:P0001;SYN2-340-D;DOR;LYBE;2026-07-31T20:47:34.731462+02:00;74854,73146226152;20
0;SYN2-341-D:P0001;SYN2-341-D;DOR;LYBE;2026-07-31T20:50:07.726755+02:00;75007,72675539037;20
0;SYN2-180-A:P0001;SYN2-180-A;LYBE;BW;2026-07-31T21:10:49.571527+02:00;76249,57152745148;21
0;SYN2-121-A:P0001;SYN2-121-A;LYBE;BW;2026-07-31T21:14:43.955772+02:00;76483,95577200805;21
0;SYN2-121-A:P0003;SYN2-121-A;LYBE;BW;2026-07-31T21:26:29.218131+02:00;77189,21813117022;21
0;SYN2-121-A:P0002;SYN2-121-A;LYBE;DOR;2026-07-31T21:30:25.550084+02:00;77425,55008378945;21
0;SYN2-122-A:P0001;SYN2-122-A;LYBE;BW;2026-07-31T21:30:57.830269+02:00;77457,83026859499;21
0;SYN2-182-A:P0001;SYN2-182-A;LYBE;BW;2026-07-31T22:33:57.438789+02:00;81237,43878912872;22
0;SYN2-125-A:P0001;SYN2-125-A;LYBE;DOR;2026-07-31T22:35:39.924416+02:00;81339,92441574708;22
0;SYN2-126-A:P0001;SYN2-126-A;LYBE;LYBV;2026-07-31T22:36:07.660847+02:00;81367,6608474296;22
0;SYN2-127-A:P0001;SYN2-127-A;LYBE;DOR;2026-07-31T22:42:21.435339+02:00;81741,43533944854;22
0;SYN2-130-A:P0001;SYN2-130-A;LYBE;DOR;2026-07-31T22:52:10.320861+02:00;82330,3208607202;22
0;SYN2-184-A:P0001;SYN2-184-A;LYBE;DOR;2026-07-31T22:52:14.408692+02:00;82334,40869179284;22
